# class=rough
# date=20260426_012843
# sample_rate_hz=100
# accel_range=4g
# gyro_range=500dps
# accel_scale=8192.0
# gyro_scale=65.5
# total_samples=1000
# missed_frames=0
# crc_errors=0
tick_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,seq
1182433,1649,1163,8066,41,9,-162,153
1182443,1398,-847,8632,305,-96,-196,154
1182453,1759,589,8224,219,57,-184,155
1182463,2130,-123,7870,-137,225,-134,156
1182473,2010,-923,7942,187,288,-174,157
1182483,1916,628,7763,-142,104,-107,158
1182493,1727,-843,8890,108,-92,-141,159
1182503,1850,-74,7892,108,47,-129,160
1182513,2005,-441,8333,-137,-41,-93,161
1182523,1877,-132,8277,14,115,-123,162
1182533,1620,-434,8490,-59,-29,-96,163
1182543,1998,27,8662,126,-113,-116,164
1182553,2190,-502,8223,-152,-30,-70,165
1182563,2487,-452,8418,19,4,-84,166
1182573,1811,141,8557,-136,-23,-61,167
1182583,1550,-754,8703,133,-126,-101,168
1182593,1430,180,8677,-2,-114,-83,169
1182603,1859,-370,8168,-86,19,-88,170
1182613,1723,60,8336,143,-113,-133,171
1182623,1443,-21,8320,18,-223,-132,172
1182633,1995,-217,8067,186,-124,-158,173
1182643,2061,38,8630,173,-221,-157,174
1182653,1961,-244,8617,161,-28,-164,175
1182663,2067,231,8442,128,10,-164,176
1182673,1701,267,8778,155,-101,-176,177
1182683,1626,16,9281,278,-232,-194,178
1182693,1996,351,8790,160,-84,-188,179
1182703,2103,-452,9196,95,21,-184,180
1182713,2178,158,8626,46,151,-186,181
1182723,1996,-387,8306,39,-22,-203,182
1182733,1793,-586,8530,130,-138,-207,183
1182743,1765,58,8798,-43,-113,-178,184
1182753,1565,-386,8944,-144,96,-171,185
1182763,1764,-637,8292,-96,210,-179,186
1182773,1887,-15,8658,-133,-6,-182,187
1182783,1717,-981,8815,26,-1,-218,188
1182793,2017,-167,8669,-71,77,-195,189
1182803,1754,-78,8306,-212,153,-164,190
1182813,1663,-718,8920,18,134,-177,191
1182823,2052,-4,8254,-36,155,-163,192
1182833,1905,-536,8236,72,59,-187,193
1182843,2050,-943,9108,149,-1,-194,194
1182853,2340,-53,8817,9,141,-170,195
1182863,2379,-709,8405,-47,285,-147,196
1182873,2129,-172,8219,40,196,-132,197
1182883,1603,-48,8637,51,-98,-136,198
1182893,1549,-527,9090,242,-101,-163,199
1182903,1826,20,8446,-45,98,-126,200
1182913,1943,-35,7653,-190,313,-116,201
1182923,2010,148,7235,-123,273,-132,202
1182933,1731,263,7856,21,-110,-164,203
1182943,1398,160,8129,152,-255,-192,204
1182953,2024,174,8418,88,-108,-196,205
1182963,2024,174,8418,88,-108,-196,206
1182973,2562,206,8172,-57,146,-186,207
1182983,2036,262,8356,-32,113,-177,208
1182993,1690,-43,8279,91,-156,-171,209
1183003,1940,-619,9171,277,-366,-191,210
1183013,2119,123,9286,63,-146,-172,211
1183023,2250,-602,8396,-133,187,-162,212
1183033,2541,-292,8293,-92,143,-144,213
